iter	Passed	Remaining
0	79	79499
1	80	40382
2	82	27324
3	83	20806
4	84	16885
5	86	14258
6	87	12383
7	88	10983
8	89	9894
9	91	9046
10	92	8334
11	93	7738
12	95	7234
13	96	6802
14	97	6424
15	99	6098
16	100	5807
17	101	5550
18	103	5318
19	104	5111
20	105	4924
21	106	4754
22	108	4600
23	109	4458
24	111	4331
25	112	4211
26	113	4102
27	115	4001
28	116	3902
29	117	3808
30	119	3722
31	120	3641
32	121	3564
33	123	3495
34	124	3426
35	125	3361
36	126	3299
37	128	3241
38	129	3185
39	130	3134
40	131	3084
41	133	3035
42	134	2990
43	135	2948
44	136	2906
45	138	2865
46	139	2827
47	140	2791
48	142	2756
49	143	2722
50	144	2691
51	145	2659
52	147	2629
53	148	2600
54	149	2572
55	150	2544
56	152	2517
57	153	2492
58	154	2467
59	155	2443
60	157	2419
61	158	2396
62	159	2374
63	160	2352
64	162	2332
65	163	2312
66	164	2292
67	165	2274
68	167	2255
69	168	2238
70	169	2220
71	171	2204
72	172	2187
73	173	2172
74	174	2156
75	176	2140
76	177	2125
77	178	2110
78	179	2097
79	181	2083
80	182	2069
81	183	2056
82	184	2043
83	186	2030
84	187	2017
85	188	2005
86	189	1993
87	191	1980
88	192	1969
89	193	1957
90	194	1946
91	196	1936
92	197	1925
93	198	1915
94	200	1905
95	201	1895
96	202	1886
97	203	1876
98	205	1866
99	206	1856
100	207	1848
101	208	1839
102	210	1830
103	211	1821
104	212	1812
105	214	1806
106	215	1799
107	216	1791
108	218	1783
109	219	1775
110	220	1767
111	221	1760
112	223	1752
113	224	1744
114	225	1736
115	226	1729
116	228	1721
117	229	1714
118	230	1706
119	231	1699
120	232	1692
121	234	1685
122	235	1678
123	236	1671
124	237	1664
125	239	1658
126	240	1653
127	241	1647
128	243	1641
129	244	1635
130	245	1629
131	246	1623
132	248	1618
133	249	1612
134	250	1607
135	252	1601
136	253	1596
137	254	1590
138	255	1585
139	257	1579
140	258	1574
141	259	1569
142	261	1564
143	262	1559
144	263	1554
145	264	1549
146	266	1544
147	267	1538
148	268	1533
149	269	1528
150	271	1524
151	272	1519
152	273	1514
153	274	1509
154	275	1504
155	277	1500
156	278	1495
157	279	1491
158	281	1487
159	282	1482
160	283	1478
161	284	1473
162	286	1469
163	287	1464
164	288	1461
165	290	1457
166	291	1453
167	292	1448
168	293	1445
169	295	1441
170	296	1436
171	297	1432
172	298	1428
173	300	1425
174	301	1421
175	302	1417
176	304	1414
177	305	1410
178	306	1406
179	308	1403
180	309	1400
181	310	1397
182	312	1394
183	313	1390
184	315	1387
185	316	1384
186	317	1381
187	318	1377
188	320	1374
189	321	1371
190	322	1367
191	324	1364
192	325	1361
193	326	1357
194	328	1354
195	329	1351
196	330	1347
197	331	1344
198	333	1341
199	334	1338
200	336	1336
201	337	1333
202	339	1331
203	340	1329
204	342	1326
205	343	1323
206	344	1320
207	345	1317
208	347	1314
209	348	1311
210	349	1308
211	351	1304
212	352	1301
213	353	1298
214	354	1295
215	356	1292
216	357	1289
217	358	1287
218	360	1284
219	361	1281
220	362	1279
221	364	1276
222	365	1273
223	366	1271
224	368	1268
225	369	1265
226	370	1262
227	372	1260
228	373	1257
229	374	1254
230	375	1251
231	377	1248
232	378	1246
233	379	1243
234	381	1241
235	382	1238
236	383	1235
237	385	1233
238	386	1230
239	387	1227
240	388	1224
241	390	1222
242	391	1219
243	392	1217
244	394	1215
245	395	1212
246	396	1209
247	398	1207
248	399	1204
249	400	1202
250	402	1199
251	403	1197
252	404	1194
253	405	1192
254	407	1190
255	408	1187
256	409	1185
257	411	1183
258	412	1180
259	413	1178
260	415	1175
261	416	1173
262	417	1171
263	419	1168
264	420	1166
265	421	1163
266	423	1161
267	424	1159
268	425	1156
269	426	1154
270	428	1152
271	429	1149
272	430	1147
273	432	1144
274	433	1142
275	434	1140
276	436	1139
277	437	1136
278	438	1134
279	440	1132
280	441	1130
281	442	1127
282	444	1125
283	445	1123
284	446	1121
285	448	1118
286	449	1116
287	450	1114
288	452	1112
289	453	1110
290	454	1107
291	455	1105
292	457	1102
293	458	1100
294	459	1098
295	460	1096
296	462	1094
297	463	1092
298	464	1089
299	466	1087
300	467	1085
301	468	1082
302	469	1080
303	471	1078
304	472	1076
305	473	1074
306	475	1072
307	476	1070
308	477	1068
309	479	1066
310	480	1064
311	481	1062
312	482	1059
313	484	1057
314	485	1055
315	486	1053
316	487	1050
317	489	1048
318	490	1046
319	491	1044
320	492	1042
321	494	1040
322	495	1038
323	496	1036
324	497	1034
325	499	1032
326	500	1030
327	501	1027
328	502	1025
329	504	1023
330	505	1021
331	506	1019
332	507	1017
333	509	1015
334	510	1013
335	511	1011
336	513	1009
337	514	1007
338	515	1006
339	517	1004
340	518	1002
341	519	1000
342	521	998
343	522	996
344	523	994
345	525	992
346	526	990
347	527	988
348	529	986
349	530	984
350	531	982
351	532	980
352	534	978
353	535	976
354	536	974
355	537	972
356	539	970
357	540	969
358	541	967
359	542	965
360	544	963
361	545	961
362	546	959
363	547	957
364	549	955
365	550	953
366	551	951
367	552	949
368	554	947
369	555	945
370	556	943
371	557	941
372	559	940
373	560	938
374	561	936
375	563	934
376	564	932
377	565	930
378	566	928
379	568	927
380	569	925
381	570	923
382	571	921
383	573	919
384	574	917
385	575	915
386	576	913
387	578	911
388	579	910
389	580	908
390	582	906
391	583	904
392	584	902
393	585	901
394	587	899
395	588	897
396	589	895
397	591	893
398	592	892
399	593	890
400	594	888
401	596	887
402	597	885
403	599	883
404	600	881
405	601	880
406	602	878
407	604	876
408	605	875
409	607	873
410	608	871
411	609	870
412	610	868
413	612	866
414	613	864
415	615	863
416	616	861
417	617	860
418	619	858
419	620	856
420	621	855
421	622	853
422	624	851
423	625	850
424	626	848
425	628	846
426	629	844
427	630	843
428	632	841
429	633	839
430	634	838
431	636	836
432	637	834
433	638	833
434	640	831
435	641	829
436	642	828
437	644	826
438	645	824
439	646	823
440	648	821
441	649	819
442	650	818
443	652	816
444	653	814
445	654	813
446	656	811
447	657	809
448	658	808
449	659	806
450	661	804
451	662	803
452	663	801
453	665	800
454	666	798
455	667	796
456	669	794
457	670	793
458	671	791
459	672	789
460	674	788
461	675	786
462	676	784
463	678	783
464	679	782
465	681	780
466	682	778
467	683	777
468	685	775
469	686	774
470	687	772
471	689	770
472	690	769
473	691	767
474	693	766
475	694	764
476	695	762
477	697	761
478	698	759
479	699	758
480	701	756
481	702	754
482	703	753
483	705	751
484	706	750
485	707	748
486	709	746
487	710	745
488	711	743
489	713	742
490	714	740
491	715	738
492	716	737
493	718	735
494	719	734
495	720	732
496	722	730
497	723	729
498	724	727
499	726	726
500	727	724
501	728	722
502	729	721
503	731	719
504	732	717
505	733	716
506	734	714
507	736	713
508	737	711
509	739	710
510	740	708
511	741	707
512	743	705
513	744	703
514	745	702
515	747	700
516	748	699
517	749	697
518	750	695
519	752	694
520	753	692
521	754	691
522	756	689
523	757	688
524	758	686
525	759	684
526	761	683
527	762	681
528	763	680
529	765	678
530	766	677
531	767	675
532	769	673
533	770	672
534	771	670
535	773	669
536	774	667
537	775	666
538	776	664
539	778	663
540	779	661
541	780	659
542	782	658
543	783	656
544	784	655
545	786	653
546	787	652
547	788	650
548	790	649
549	791	647
550	792	646
551	794	644
552	795	642
553	796	641
554	798	639
555	799	638
556	800	636
557	801	635
558	803	633
559	804	632
560	805	630
561	807	629
562	808	627
563	809	625
564	810	624
565	812	622
566	813	621
567	814	619
568	816	618
569	817	616
570	818	615
571	820	613
572	821	612
573	822	610
574	823	608
575	825	607
576	826	605
577	827	604
578	828	602
579	830	601
580	831	599
581	832	598
582	834	596
583	835	595
584	836	593
585	837	591
586	839	590
587	840	588
588	841	587
589	843	585
590	844	584
591	845	582
592	846	581
593	847	579
594	849	578
595	850	576
596	851	574
597	852	573
598	854	571
599	855	570
600	856	568
601	858	567
602	859	565
603	860	564
604	861	562
605	863	561
606	864	559
607	865	558
608	867	556
609	868	555
610	869	553
611	870	552
612	872	550
613	873	549
614	874	547
615	876	546
616	877	544
617	878	543
618	879	541
619	881	540
620	882	538
621	883	537
622	885	535
623	886	534
624	887	532
625	888	531
626	890	529
627	891	527
628	892	526
629	893	524
630	894	523
631	896	521
632	897	520
633	898	518
634	900	517
635	901	515
636	902	514
637	904	512
638	905	511
639	906	510
640	908	508
641	909	507
642	910	505
643	911	504
644	913	502
645	914	501
646	916	499
647	917	498
648	918	496
649	920	495
650	921	494
651	922	492
652	924	491
653	925	489
654	926	488
655	927	486
656	929	485
657	930	483
658	931	482
659	933	480
660	934	479
661	935	477
662	937	476
663	938	475
664	939	473
665	941	472
666	942	470
667	943	469
668	945	467
669	946	466
670	947	464
671	949	463
672	950	461
673	952	460
674	953	458
675	954	457
676	956	456
677	957	454
678	958	453
679	960	451
680	961	450
681	962	448
682	964	447
683	965	446
684	967	444
685	968	443
686	969	441
687	971	440
688	972	438
689	973	437
690	974	435
691	976	434
692	977	433
693	978	431
694	980	430
695	981	428
696	982	427
697	984	425
698	985	424
699	986	422
700	987	421
701	989	419
702	990	418
703	991	416
704	992	415
705	994	414
706	995	412
707	996	411
708	998	409
709	999	408
710	1000	406
711	1002	405
712	1003	403
713	1004	402
714	1006	401
715	1007	399
716	1008	398
717	1010	396
718	1011	395
719	1012	393
720	1014	392
721	1015	390
722	1016	389
723	1018	388
724	1019	386
725	1020	385
726	1021	383
727	1023	382
728	1024	380
729	1025	379
730	1026	377
731	1028	376
732	1029	375
733	1030	373
734	1032	372
735	1033	370
736	1034	369
737	1036	367
738	1037	366
739	1038	364
740	1039	363
741	1041	361
742	1042	360
743	1043	359
744	1044	357
745	1046	356
746	1047	354
747	1049	353
748	1050	352
749	1051	350
750	1052	349
751	1054	347
752	1055	346
753	1056	344
754	1058	343
755	1059	341
756	1060	340
757	1062	339
758	1063	337
759	1064	336
760	1066	334
761	1067	333
762	1069	332
763	1070	330
764	1071	329
765	1072	327
766	1074	326
767	1075	324
768	1077	323
769	1078	322
770	1079	320
771	1080	319
772	1082	317
773	1083	316
774	1084	314
775	1086	313
776	1087	312
777	1088	310
778	1090	309
779	1091	307
780	1092	306
781	1093	304
782	1095	303
783	1096	302
784	1098	300
785	1099	299
786	1100	297
787	1102	296
788	1103	295
789	1104	293
790	1105	292
791	1107	290
792	1108	289
793	1109	287
794	1111	286
795	1114	285
796	1116	284
797	1117	282
798	1119	281
799	1120	280
800	1122	278
801	1124	277
802	1126	276
803	1128	275
804	1129	273
805	1131	272
806	1132	270
807	1133	269
808	1134	267
809	1136	266
810	1138	265
811	1139	263
812	1140	262
813	1142	260
814	1143	259
815	1144	258
816	1145	256
817	1147	255
818	1148	253
819	1149	252
820	1151	250
821	1152	249
822	1153	248
823	1154	246
824	1156	245
825	1157	243
826	1158	242
827	1159	240
828	1161	239
829	1162	238
830	1163	236
831	1164	235
832	1166	233
833	1167	232
834	1168	230
835	1170	229
836	1171	228
837	1172	226
838	1173	225
839	1175	223
840	1176	222
841	1177	220
842	1178	219
843	1180	218
844	1181	216
845	1182	215
846	1183	213
847	1185	212
848	1186	211
849	1187	209
850	1189	208
851	1190	206
852	1191	205
853	1192	203
854	1194	202
855	1195	201
856	1196	199
857	1197	198
858	1199	196
859	1200	195
860	1201	193
861	1202	192
862	1204	191
863	1205	189
864	1206	188
865	1207	186
866	1209	185
867	1210	184
868	1211	182
869	1213	181
870	1214	179
871	1215	178
872	1217	177
873	1218	175
874	1219	174
875	1220	172
876	1222	171
877	1223	170
878	1224	168
879	1225	167
880	1227	165
881	1228	164
882	1229	162
883	1231	161
884	1232	160
885	1233	158
886	1235	157
887	1236	155
888	1237	154
889	1238	153
890	1239	151
891	1241	150
892	1242	148
893	1243	147
894	1244	146
895	1246	144
896	1247	143
897	1248	141
898	1249	140
899	1251	139
900	1252	137
901	1253	136
902	1254	134
903	1256	133
904	1257	131
905	1258	130
906	1259	129
907	1260	127
908	1262	126
909	1263	124
910	1264	123
911	1265	122
912	1267	120
913	1268	119
914	1269	117
915	1271	116
916	1272	115
917	1273	113
918	1275	112
919	1276	110
920	1277	109
921	1279	108
922	1280	106
923	1281	105
924	1283	104
925	1284	102
926	1285	101
927	1287	99
928	1288	98
929	1289	97
930	1290	95
931	1292	94
